OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2025-10-02T04:06:18.711360,13.76221618,0.002494,90.2159,65.8007,357.4728,65.4792,0,U,900,999,3593,0.0013834,1.359e-05,0.0
CALSPHERE 2,1964-063E,2025-10-01T16:17:21.745824,13.52873502,0.00166541,90.2285,69.6938,256.5046,115.9036,0,U,902,999,82131,0.00014819218,1.07e-06,0.0
LCS 1,1965-034C,2025-10-02T01:44:08.384928,9.89309328,0.001359,32.1418,69.8722,288.3624,71.5395,0,U,1361,999,18432,-0.00028938,6e-08,0.0
TEMPSAT 1,1965-065E,2025-10-02T02:23:12.238944,13.33573338,0.0067701,89.9864,212.7341,253.1497,117.5524,0,U,1512,999,92565,0.00013094,7.4e-07,0.0
CALSPHERE 4A,1965-065H,2025-10-02T03:02:33.709056,13.36219828,0.007114,89.9115,124.8706,111.2316,17.6602,0,U,1520,999,92824,0.00032343,1.78e-06,0.0
OPS 5712 (P/L 160),1967-053A,2025-10-02T03:29:10.908960,14.72357453,0.0004016,69.9198,308.4076,330.6602,29.4317,0,U,2826,999,2817,0.0028344,0.00017939,0.0
LES-5,1967-066E,2025-09-30T19:59:34.537632,1.09426074,0.00534708,2.0247,105.2853,195.5937,106.9915,0,U,2866,999,12819,0.0,-1.04e-06,0.0
SURCAL 159,1967-053F,2025-10-02T01:58:11.958240,13.9950973,0.0003747,69.9746,196.5796,91.0633,269.0904,0,U,2872,999,97409,0.000227,2.78e-06,0.0
OPS 5712 (P/L 153),1967-053H,2025-10-02T02:39:19.624320,13.96771292,0.0007373,69.9738,308.4523,194.7937,165.2954,0,U,2874,999,97074,0.00013395,1.33e-06,0.0
SURCAL 150B,1967-053J,2025-10-02T03:10:50.032128,15.60952531,0.0014311,69.9078,178.2342,181.7635,178.3508,0,U,2909,999,4217,0.0098912,0.00918677,0.0
OPS 3811 (DSP 2),1971-039A,2025-10-02T02:41:27.129120,0.98160934,0.0021974,0.4685,299.1177,341.6562,343.2232,0,U,5204,999,20369,0.0,-6.6e-07,0.0
RIGIDSPHERE 2 (LCS 4),1971-067E,2025-10-02T02:35:03.743808,14.37377371,0.0060538,87.6192,50.4248,11.1358,349.1164,0,U,5398,999,83680,0.00068339,2.101e-05,0.0
OSCAR 7 (AO-7),1974-089B,2025-10-01T23:53:55.208832,12.53692029,0.0011906,101.9988,280.4959,264.1695,153.1194,0,U,7530,999,32816,0.00016968,-1.9e-07,0.0
STARLETTE,1975-010A,2025-10-02T03:36:22.167648,13.8234522,0.0205727,49.826,43.1124,290.6112,67.2825,0,U,7646,999,55884,2.9187e-06,-1.37e-06,0.0
LAGEOS 1,1976-039A,2025-10-01T09:32:33.548928,6.38664867,0.00446724,109.8432,90.7078,357.6733,28.785,0,U,8820,999,89661,0.0,4.2e-07,0.0
